"chromosome","start","end","name","score","strand"
"chr1",181251,181601,"enhP",1000,"."
"chr1",190865,191071,"enhD",1000,"."
"chr1",778562,778912,"prom",1000,"."
"chr1",779086,779355,"prom",1000,"."
"chr1",779727,780060,"enhP",1000,"."
"chr1",790397,790626,"CTCF",1000,"."
"chr1",807736,807916,"enhD",1000,"."
"chr1",812113,812266,"enhD",1000,"."
"chr1",817080,817403,"prom",1000,"."
"chr1",817903,818252,"enhP",1000,"."
"chr1",818718,818872,"enhP",1000,"."
"chr1",819893,820227,"enhD",1000,"."
"chr1",826722,827035,"enhP",1000,"."
"chr1",827342,827691,"prom",1000,"."
"chr1",832050,832395,"enhP",1000,"."
"chr1",833334,833487,"enhP",1000,"."
"chr1",834366,834554,"enhD",1000,"."
"chr1",840649,840819,"enhD",1000,"."
"chr1",841779,842045,"enhD",1000,"."
"chr1",844491,844836,"enhD",1000,"."
"chr1",850410,850675,"CTCF",1000,"."
"chr1",851885,852102,"enhD",1000,"."
"chr1",860878,861087,"CTCF",1000,"."
"chr1",865420,865611,"enhD",1000,"."
"chr1",865783,866096,"enhD",1000,"."
"chr1",866116,866333,"enhD",1000,"."
"chr1",869716,870065,"K4m3",1000,"."
"chr1",870120,870448,"prom",1000,"."
"chr1",882087,882426,"enhD",1000,"."
"chr1",892274,892439,"CTCF",1000,"."
"chr1",904153,904390,"enhP",1000,"."
"chr1",904594,904931,"prom",1000,"."
"chr1",905265,905591,"enhP",1000,"."
"chr1",905869,906213,"enhP",1000,"."
"chr1",906735,907082,"enhD",1000,"."
"chr1",910099,910407,"enhP",1000,"."
"chr1",911145,911459,"prom",1000,"."
"chr1",911957,912127,"enhP",1000,"."
"chr1",912718,913055,"enhP",1000,"."
"chr1",913065,913336,"enhP",1000,"."
"chr1",916632,916957,"enhD",1000,"."
"chr1",917186,917442,"enhD",1000,"."
"chr1",919651,919994,"prom",1000,"."
"chr1",920580,920924,"enhP",1000,"."
"chr1",921066,921390,"enhP",1000,"."
"chr1",923119,923463,"enhD",1000,"."
"chr1",923795,924008,"enhP",1000,"."
"chr1",924070,924309,"enhP",1000,"."
"chr1",924403,924605,"enhP",1000,"."
"chr1",924741,925050,"enhP",1000,"."
"chr1",925105,925277,"enhP",1000,"."
"chr1",925583,925767,"prom",1000,"."
"chr1",925877,926206,"enhP",1000,"."
"chr1",928960,929116,"enhD",1000,"."
"chr1",930692,930957,"enhD",1000,"."
"chr1",931575,931806,"enhD",1000,"."
"chr1",931901,932159,"enhD",1000,"."
"chr1",932177,932420,"enhD",1000,"."
"chr1",932736,932971,"enhD",1000,"."
"chr1",933109,933453,"enhD",1000,"."
"chr1",933529,933859,"enhD",1000,"."
"chr1",935032,935309,"enhD",1000,"."
"chr1",935566,935768,"enhD",1000,"."
"chr1",935851,936148,"enhD",1000,"."
"chr1",938137,938348,"enhD",1000,"."
"chr1",938349,938699,"enhD",1000,"."
"chr1",938913,939073,"enhD",1000,"."
"chr1",939084,939345,"enhD",1000,"."
"chr1",939432,939693,"enhD",1000,"."
"chr1",939723,939883,"enhD",1000,"."
"chr1",940261,940592,"enhD",1000,"."
"chr1",940604,940812,"enhD",1000,"."
"chr1",940849,941067,"enhD",1000,"."
"chr1",941120,941307,"enhD",1000,"."
"chr1",941348,941558,"enhD",1000,"."
